Height,Element,Peak Freq (Hz),Length(ms),Interval of c-c (ms),Site,Order,Number of c note
40,a,2239.453,0.4521,,tdxy,3,
68,a,3014.648,0.8468,,lyj,1,
68,a,2497.852,0.6674,,lyj,1,
68,a,2325.586,0.8181,,lyj,1,
68,a,2411.719,0.7966,,lyj,1,
68,a,2670.117,0.7248,,lyj,1,
68,a,2583.984,0.732,,lyj,1,
68,a,2756.25,0.732,,lyj,1,
39,a,3100.781,0.6602,,lyj,2,
20,b,3100.781,0.1991,,zfgy,6,
20,b,3617.578,0.1861,,zfgy,6,
59,b,2670.117,0.1579,,lyj,1,
59,b,2756.25,0.4952,,lyj,1,
59,b,3186.914,0.1758,,lyj,1,
59,b,3186.914,0.2385,,lyj,1,
59,b,3186.914,0.1979,,lyj,1,
57,b,3014.648,0.1776,,lyj,2,
57,b,3186.914,0.1722,,lyj,2,
47,b,2842.383,0.3911,,lyj,3,
23,b,2583.984,0.2332,,lyj,4,
39,b,2239.453,0.628,,txg,1,
39,b,2756.25,0.68,,txg,1,
41,b,3703.711,0.4669,,txg,2,
41,b,3359.18,0.2799,,txg,2,
41,b,3531.445,0.671,,txg,2,
41,b,2756.25,0.6343,,txg,2,
66,b,4134.375,0.5937,,txg,4,
102,b,2670.117,0.4521,,txg,1,
26,b,2928.516,0.2842,,txg,4,
26,b,3186.914,0.3349,,txg,4,
26,b,2497.852,0.7003,,txg,4,
68,b,3273.047,0.1801,,txg,5,
31,b,2670.117,0.3501,,txg,6,
31,b,2928.516,0.4973,,txg,6,
31,b,3100.781,0.5311,,txg,6,
31,b,3531.445,0.4127,,txg,6,
72,b,3186.914,0.4449,,xjhy,2,
75,b,3100.781,0.2081,,xjhy,3,
52,b,3100.781,0.5937,,xjhy,4,
35,b,2756.25,0.2461,,xjhy,1,
30,b,3531.445,0.274,,xjhy,2,
68,b,3014.648,0.5455,,xjhy,5,
51,b,3273.047,0.2512,,xjhy,6,
47,b,3014.648,0.2055,,xjhy,7,
47,b,2756.25,0.3194,,xjhy,7,
47,b,2497.852,0.3301,,xjhy,7,
44,b,2842.383,0.1294,,xjhy,1,
45,b,2411.719,0.5275,,xjhy,3,
44,b,3273.047,0.1328,,xjhy,7,
44,b,2928.516,0.2368,,xjhy,7,
44,b,2928.516,0.1615,,xjhy,7,
27,b,3014.648,0.2548,,yzl,2,
20,b,3186.914,0.2436,,lkd,1,
30,b,2756.25,0.4593,,lkd,2,
30,b,3014.648,0.3726,,lkd,2,
78,b,2497.852,0.3121,,lkd,3,
78,b,3962.109,0.1446,,lkd,3,
64,b,3359.18,0.4009,,lkd,4,
16,b,4134.375,0.1979,,tdxy,1,
69,b,4651.172,0.2942,,tdxy,3,
31,b,4048.242,0.183,,tdxy,5,
11,b,2928.516,0.2081,,tdxy,6,
11,b,2842.383,0.1878,,tdxy,6,
100,b,3186.914,0.8221,,yhgy,1,
43,b,3445.312,0.2537,,yhgy,3,
43,b,4048.242,0.3806,,yhgy,3,
32,b,2842.383,0.34,,yhgy,4,
32,b,2497.852,0.9033,,yhgy,4,
32,b,3789.844,0.3806,,yhgy,6,
